,city,latitude,longitude,max_temp,humidity,cloud_cover,wind_speed,country,date
74,Komsomolskiy,68.48000000008108,63.40999999977862,50.0,57.0,100.0,6.91,UZ,2021-04-24 01:40:50
75,Avarua,-13.70999999996097,-162.48000000001593,82.4,74.0,10.0,19.57,CK,2021-04-24 01:48:46
76,Ust-nera,65.01000000007929,144.2399999997051,18.1,74.0,100.0,4.81,RU,2021-04-24 01:48:46
77,Yellowknife,70.05000000008187,-108.50000000006503,16.0,57.0,75.0,9.22,CA,2021-04-24 01:48:46
78,Broken hill,-26.169999999967345,142.53999999970665,64.4,45.0,84.0,5.75,AU,2021-04-24 01:48:47
79,Birao,9.430000000050867,22.679999999815664,80.76,58.0,100.0,8.59,CF,2021-04-24 01:41:32
80,Dikson,78.09000000008598,83.46999999976038,31.86,98.0,100.0,15.35,RU,2021-04-24 01:48:47
81,Constitucion,11.990000000052177,-129.5300000000459,55.0,79.0,0.0,10.09,CL,2021-04-24 01:41:17
82,Pisco,-20.05999999996422,-88.89000000008286,66.99,82.0,0.0,9.22,PE,2021-04-24 01:48:48
83,Mehamn,77.98000000008594,27.039999999811698,31.69,70.0,99.0,15.84,NO,2021-04-24 01:48:23
84,Coihaique,-47.199999999978104,-70.87000000009925,43.63,97.0,79.0,5.53,CL,2021-04-24 01:40:19
85,De-kastri,51.61000000007243,141.1699999997079,37.33,70.0,93.0,6.33,RU,2021-04-24 01:48:48
86,Novaya bryan,51.100000000072185,108.19999999973788,42.8,22.0,20.0,15.66,RU,2021-04-24 01:48:49
87,Ulladulla,-37.52999999997316,152.87999999969725,66.2,52.0,88.0,8.05,AU,2021-04-24 01:48:49
88,Hofn,72.53000000008313,-8.96000000015556,44.65,78.0,100.0,5.01,IS,2021-04-24 01:39:09
89,Quang ngai,14.960000000053697,109.48999999973671,89.83,55.0,32.0,3.22,VN,2021-04-24 01:48:50
90,Omsukchan,60.560000000077025,156.2399999996942,18.36,83.0,100.0,8.28,RU,2021-04-24 01:48:50
91,Santarem,-2.529999999955251,-54.310000000114314,75.2,94.0,0.0,2.8,BR,2021-04-24 01:36:40
92,Jamestown,-25.559999999967033,-11.250000000153477,48.2,43.0,1.0,12.66,US,2021-04-24 01:41:32
93,Teguldet,60.18000000007683,88.18999999975608,36.57,77.0,100.0,6.42,RU,2021-04-24 01:49:52
94,Clyde river,67.90000000008078,-81.77000000008934,12.2,100.0,90.0,3.44,CA,2021-04-24 01:49:52
95,Saskylakh,85.06000000008956,110.44999999973584,33.57,97.0,100.0,20.42,RU,2021-04-24 01:40:55
96,Aitape,-1.989999999954975,142.44999999970673,84.52,68.0,100.0,2.84,PG,2021-04-24 01:49:53
97,Saint-louis,16.08000000005427,-17.600000000147702,74.86,36.0,47.0,12.55,SN,2021-04-24 01:49:53
98,Laguna,-33.15999999997092,-42.8900000001247,66.2,52.0,1.0,14.97,US,2021-04-24 01:49:54
99,Tamasopo,21.980000000057288,-99.4000000000733,74.61,47.0,78.0,3.6,MX,2021-04-24 01:49:54
100,Tonj,7.420000000049839,28.329999999810525,79.27,61.0,99.0,4.74,SS,2021-04-24 01:41:01
101,Mukhen,48.290000000070734,136.96999999971172,45.46,64.0,100.0,5.86,RU,2021-04-24 01:49:55
102,New norfolk,-63.639999999986514,137.0999999997116,59.0,76.0,96.0,1.99,AU,2021-04-24 01:47:50
103,Necochea,-43.54999999997624,-57.47000000011144,60.01,97.0,100.0,5.53,AR,2021-04-24 01:46:59
104,Kupang,-12.289999999960244,124.50999999972305,84.65,64.0,2.0,6.82,ID,2021-04-24 01:49:55
105,Airai,7.4500000000498545,140.85999999970818,74.17,48.0,5.0,3.13,TL,2021-04-24 01:47:53
106,College,71.34000000008254,-148.120000000029,57.99,23.0,20.0,6.91,US,2021-04-24 01:41:13
107,Aras,61.14000000007732,4.089999999832571,53.01,62.0,0.0,11.5,ES,2021-04-24 01:49:56
108,Lanzhot,48.630000000070936,16.949999999820875,39.0,82.0,0.0,1.79,CZ,2021-04-24 01:49:56
109,Kaitangata,-81.57999999999569,177.17999999967515,55.99,66.0,100.0,4.0,NZ,2021-04-24 01:40:20
110,Marsa matruh,32.81000000006283,26.639999999812062,57.2,88.0,40.0,8.19,EG,2021-04-24 01:46:27
111,Portland,-50.57999999997983,134.28999999971415,61.0,41.0,90.0,5.75,US,2021-04-24 01:37:54
112,Santa fe,35.47000000006419,-106.0000000000673,68.0,95.0,83.0,1.01,AR,2021-04-24 01:36:32
113,Cayenne,12.810000000052597,-42.490000000125065,79.0,100.0,75.0,3.44,GF,2021-04-24 01:46:51
114,Porto velho,-8.579999999958346,-63.99000000010551,77.0,94.0,20.0,1.14,BR,2021-04-24 01:49:18
115,Upernavik,89.2400000000917,-51.790000000116606,27.95,86.0,100.0,4.99,GL,2021-04-24 01:49:58
116,Cherskiy,68.26000000008096,157.94999999969264,26.83,88.0,100.0,4.9,RU,2021-04-24 01:49:59
